GO:0009257	10-formyltetrahydrofolate_biosynthetic_process
GO:0102874	1-16:0-2-18:2-digalactosyldiacylglycerol_desaturase_activity
GO:0102872	1-16:0-2-18:2-phosphatidylcholine_desaturase_activity
GO:0102873	1-18:1-2-16:0-digalactosyldiacylglycerol_desaturase_activity
GO:0102834	1-18:1-2-16:0-monogalactosyldiacylglycerol_acyl-lipid_omega-6_desaturase_activity
GO:0102549	1-18:1-2-16:0-monogalactosyldiacylglycerol_lipase_activity
GO:0102657	1-18:1-2-16:0-monogalactosyldiacylglycerol_palmitoyl-lipid_7-desaturase_activity
GO:0102850	1-18:1-2-16:0-phosphatidylglycerol_omega-6_desaturase_activity
GO:0102836	1-18:1-2-16:1-monogalactosyldiacylglyceroldesaturase_activity
GO:0102838	1-18:1-2-16:2-monogalactosyldiacylglycerol_desaturase_activity
GO:0102842	1-18:1-2-16:2-monogalactosyldiacylglycerol_desaturase_activity_(SN2-16:3_forming)
GO:0102841	1-18:1-2-16:2-monogalactosyldiacylglycerol_synthase_activity
GO:0102859	1-18:1-2-18:2-phosphatidylcholine_desaturase_activity_(SN2-18:3_forming)
GO:0102655	1-18:1-2-trans-16:1-phosphatidylglycerol_desaturase_activity
GO:0102835	1-18:2-2-16:0-monogalactosyldiacylglycerol_desaturase_activity
GO:0102843	1-18:2-2-16:0-monogalactosyldiacylglycerol_desaturase_activity_(SN2-16:1_forming)
GO:0102837	1-18:2-2-16:1-monogalactosyldiacylglycerol_desaturase_activity
GO:0102844	1-18:2-2-16:1-monogalactosyldiacylglycerol_desaturase_activity_(SN2-16:2_forming)
GO:0102839	1-18:2-2-16:2-monogalactosyldiacylglycerol_desaturase_activity
GO:0102840	1-18:2-2-16:3-monogalactosyldiacylglycerol_desaturase_activity
GO:0102848	1-18:2-2-18:2-digalactosyldiacylglycerol_desaturase_activity
GO:0102875	1-18:2-2-18:2-monogalactosyldiacylglycerol_desaturase_activity
GO:0102856	1-18:2-2-18:2-sn-glycerol-3-phosphocholine_desaturase_activity
GO:0102862	1-18:2-2-18:2-sn-glycerol-3-phosphocholine_desaturase_activity_(SN2-18:3_forming)
GO:0102849	1-18:2-2-18:3-digalactosyldiacylglycerol_desaturase_activity
GO:0070524	11-beta-hydroxysteroid_dehydrogenase_(NADP+)_activity
GO:0102056	11-hydroxyjasmonate_sulfotransferase_activity
GO:0047513	1,2-alpha-L-fucosidase_activity
GO:0046509	1,2-diacylglycerol_3-beta-galactosyltransferase_activity
GO:0102055	12-hydroxyjasmonate_sulfotransferase_activity
GO:0016629	12-oxophytodienoate_reductase_activity
GO:0001872	(1->3)-beta-D-glucan_binding
GO:0006075	(1->3)-beta-D-glucan_biosynthetic_process
GO:0003843	1,3-beta-D-glucan_synthase_activity
GO:0000148	1,3-beta-D-glucan_synthase_complex
GO:0003844	1,4-alpha-glucan_branching_enzyme_activity
GO:0102752	1,4-alpha-glucan_branching_enzyme_activity_(using_a_glucosylated_glycogenin_as_primer_for_glycogen_synthesis)
GO:0004645	1,4-alpha-oligoglucan_phosphorylase_activity
GO:0047517	1,4-beta-D-xylan_synthase_activity
GO:0046428	1,4-dihydroxy-2-naphthoate_octaprenyltransferase_activity
GO:0008935	1,4-dihydroxy-2-naphthoyl-CoA_synthase_activity
GO:0061522	1,4-dihydroxy-2-naphthoyl-CoA_thioesterase_activity
GO:0046905	15-cis-phytoene_synthase_activity
GO:0003949	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide_isomerase_activity
GO:0009979	16:0_monogalactosyldiacylglycerol_desaturase_activity
GO:0044594	17-beta-hydroxysteroid_dehydrogenase_(NAD+)_activity
GO:0072582	17-beta-hydroxysteroid_dehydrogenase_(NADP+)_activity
GO:0072555	17-beta-ketosteroid_reductase_activity
GO:0102313	1,8-cineole_synthase_activity
GO:0102070	18-hydroxyoleate_peroxygenase_activity
GO:0052740	1-acyl-2-lysophosphatidylserine_acylhydrolase_activity
GO:0003841	1-acylglycerol-3-phosphate_O-acyltransferase_activity
GO:0047184	1-acylglycerophosphocholine_O-acyltransferase_activity
GO:0047159	1-alkenylglycerophosphocholine_O-acyltransferase_activity
GO:0042218	1-aminocyclopropane-1-carboxylate_biosynthetic_process
GO:0008660	1-aminocyclopropane-1-carboxylate_deaminase_activity
GO:0009815	1-aminocyclopropane-1-carboxylate_oxidase_activity
GO:0016847	1-aminocyclopropane-1-carboxylate_synthase_activity
GO:0052865	1-deoxy-D-xylulose_5-phosphate_biosynthetic_process
GO:0030604	1-deoxy-D-xylulose-5-phosphate_reductoisomerase_activity
GO:0008661	1-deoxy-D-xylulose-5-phosphate_synthase_activity
GO:0080179	1-methylguanosine_metabolic_process
GO:0016303	1-phosphatidylinositol-3-kinase_activity
GO:0000285	1-phosphatidylinositol-3-phosphate_5-kinase_activity
GO:0004430	1-phosphatidylinositol_4-kinase_activity
GO:0016308	1-phosphatidylinositol-4-phosphate_5-kinase_activity
GO:0005545	1-phosphatidylinositol_binding
GO:0003842	1-pyrroline-5-carboxylate_dehydrogenase_activity
GO:0102097	(22S)-22-hydroxy-5alpha-campestan-3-one_C-23_hydroxylase_activity
GO:0090560	2-(3-amino-3-carboxypropyl)histidine_synthase_activity
GO:0046537	2,3-bisphosphoglycerate-independent_phosphoglycerate_mutase_activity
GO:0008663	2',3'-cyclic-nucleotide_2'-phosphodiesterase_activity
GO:0004113	2',3'-cyclic-nucleotide_3'-phosphodiesterase_activity
GO:0046256	2,4,6-trinitrotoluene_catabolic_process
GO:0008670	2,4-dienoyl-CoA_reductase_(NADPH)_activity
GO:0030797	24-methylenesterol_C-methyltransferase_activity
GO:0003846	2-acylglycerol_O-acyltransferase_activity
GO:0032440	2-alkenal_reductase_[NAD(P)+]_activity
GO:0035798	2-alkenal_reductase_(NADP+)_activity
GO:0003848	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine_diphosphokinase_activity
GO:0047538	2-carboxy-D-arabinitol-1-phosphatase_activity
GO:0008685	2-C-methyl-D-erythritol_2,4-cyclodiphosphate_synthase_activity
GO:0050518	2-C-methyl-D-erythritol_4-phosphate_cytidylyltransferase_activity
GO:0044571	[2Fe-2S]_cluster_assembly
GO:0047545	2-hydroxyglutarate_dehydrogenase_activity
